rank,person_seconds,cell_row,cell_col,x,y
1,83.45049285888672,45,22,2.625,11.375
2,35.99973678588867,42,64,13.125,10.625
3,28.949844360351562,45,21,2.375,11.375
4,23.69992446899414,50,63,12.875,12.625
5,16.150039672851562,33,27,3.875,8.375
6,15.1000394821167,41,64,13.125,10.375
7,13.350032806396484,50,19,1.875,12.625
8,12.950031280517578,51,18,1.625,12.875
9,12.150028228759766,9,18,1.625,2.375
10,12.100028038024902,17,18,1.625,4.375
11,12.050027847290039,29,41,7.375,7.375
12,11.500025749206543,41,57,11.375,10.375
13,11.250024795532227,31,18,1.625,7.875
14,11.100024223327637,40,64,13.125,10.125
15,10.900023460388184,53,14,0.625,13.375
16,10.85002326965332,42,67,13.875,10.625
17,10.55002212524414,9,26,3.625,2.375
18,10.450021743774414,8,18,1.625,2.125
19,10.350021362304688,6,33,5.375,1.625
20,10.250020980834961,36,83,17.875,9.125
21,10.200020790100098,9,50,9.625,2.375
22,9.900019645690918,38,17,1.375,9.625
23,9.750019073486328,6,67,13.875,1.625
24,9.100016593933105,5,82,17.625,1.375
25,8.950016021728516,45,23,2.875,11.375
