rank,person_seconds,cell_row,cell_col,x,y
1,2.9999983310699463,22,17,1.375,5.625
2,2.599998712539673,29,17,1.375,7.375
3,2.1499991416931152,16,17,1.375,4.125
4,1.7999993562698364,51,18,1.625,12.875
5,1.7499994039535522,50,19,1.875,12.625
6,1.5499995946884155,52,17,1.375,13.125
7,1.4499996900558472,53,13,0.375,13.375
8,1.4499996900558472,49,19,1.875,12.375
9,1.399999737739563,53,14,0.625,13.375
10,1.399999737739563,8,16,1.125,2.125
11,1.3499997854232788,44,19,1.875,11.125
12,1.2999998331069946,53,11,-0.125,13.375
13,1.2499998807907104,48,19,1.875,12.125
14,1.2499998807907104,53,12,0.125,13.375
15,1.2499998807907104,46,19,1.875,11.625
16,1.2499998807907104,47,19,1.875,11.875
17,1.2499998807907104,42,18,1.625,10.625
18,1.1999999284744263,45,19,1.875,11.375
19,1.1999999284744263,41,18,1.625,10.375
20,1.100000023841858,52,16,1.125,13.125
21,1.100000023841858,30,17,1.375,7.625
22,1.100000023841858,53,15,0.875,13.375
23,1.0500000715255737,53,10,-0.375,13.375
24,1.0000001192092896,54,8,-0.875,13.625
25,1.0000001192092896,32,17,1.375,8.125
