t,n_agents,n_in_store,n_in_vestibule,n_in_street,flow_left_door_per_min,flow_top_door_per_min,flow_right_door_per_min,contacts_lt_1m,contacts_lt_covid,avg_speed,avg_speed_store,avg_speed_vestibule,queue_front_cashiers,density_store,density_vestibule
1.4849999999999994,20,1,0,0,0.0,0.0,0.0,81,149,0.1396433602561134,1.4416770795535818,0.0,0,0.001408103636427641,0.0
1.5179999999999993,20,1,0,0,0.0,0.0,0.0,81,149,0.13399732066650136,1.4421128015804587,0.0,0,0.001408103636427641,0.0
1.5509999999999993,20,1,0,0,0.0,0.0,0.0,81,149,0.12756880816920685,1.4416030072334822,0.0,0,0.001408103636427641,0.0
1.5839999999999992,20,1,0,0,0.0,0.0,0.0,79,149,0.12357010000539219,1.43866937021341,0.0,0,0.001408103636427641,0.0
1.616999999999999,20,1,0,0,0.0,0.0,0.0,79,149,0.12581075366222796,1.4325525217319646,0.0,0,0.001408103636427641,0.0
1.649999999999999,20,1,0,0,0.0,0.0,0.0,79,149,0.13102518087320753,1.4230942401974003,0.0,0,0.001408103636427641,0.0
1.682999999999999,20,1,0,0,0.0,0.0,0.0,79,149,0.13525349345838306,1.411973569498411,0.0,0,0.001408103636427641,0.0
1.7159999999999989,20,1,0,0,0.0,0.0,0.0,79,148,0.13732016312799442,1.397688603543897,0.0,0,0.001408103636427641,0.0
1.7489999999999988,20,1,0,0,0.0,0.0,0.0,79,148,0.1376278470449231,1.3856602115271288,0.0,0,0.001408103636427641,0.0
1.7819999999999987,20,1,0,0,0.0,0.0,0.0,79,148,0.1364818250257568,1.3721543904620996,0.0,0,0.001408103636427641,0.0
1.8149999999999986,20,1,0,0,0.0,0.0,0.0,79,149,0.1346665532113116,1.3623768570152337,0.0,0,0.001408103636427641,0.0
1.8479999999999985,20,1,0,0,0.0,0.0,0.0,79,149,0.1324416897222592,1.3525767182131794,0.0,0,0.001408103636427641,0.0
1.8809999999999985,20,1,0,0,0.0,0.0,0.0,79,148,0.12996495669717145,1.338839742486428,0.0,0,0.001408103636427641,0.0
1.9139999999999984,20,1,0,0,0.0,0.0,0.0,77,148,0.12706449441470954,1.3122738993867076,0.0,0,0.001408103636427641,0.0
1.9469999999999983,20,1,0,0,0.0,0.0,0.0,77,148,0.12465979537303143,1.2872219511719423,0.0,0,0.001408103636427641,0.0
1.9799999999999982,20,1,0,0,0.0,0.0,0.0,76,148,0.1225723291572143,1.2577685746122629,0.0,0,0.001408103636427641,0.0
2.012999999999998,20,1,0,0,0.0,0.0,0.0,75,148,0.12102325456490784,1.2283829999678033,0.0,0,0.001408103636427641,0.0
2.045999999999998,20,1,0,0,0.0,0.0,0.0,75,148,0.1198475026248516,1.198396505813044,0.0,0,0.001408103636427641,0.0
2.078999999999998,20,1,0,0,0.0,0.0,0.0,75,148,0.11885445248733115,1.1681661079757664,0.0,0,0.001408103636427641,0.0
2.111999999999998,20,1,0,0,0.0,0.0,0.0,74,146,0.11852354458813877,1.1384550645677778,0.0,0,0.001408103636427641,0.0
2.144999999999998,20,1,0,0,0.0,0.0,0.0,74,145,0.1185066364257131,1.1124085398048578,0.0,0,0.001408103636427641,0.0
2.1779999999999977,20,1,0,0,0.0,0.0,0.0,74,144,0.11834262365431716,1.0880409755885063,0.0,0,0.001408103636427641,0.0
2.2109999999999976,20,2,0,0,0.0,0.0,0.0,74,144,0.11810284608653374,1.071844729131386,0.0,0,0.002816207272855282,0.0
2.2439999999999976,20,2,0,0,0.0,0.0,0.0,73,142,0.11804096167655657,1.0774095433004907,0.0,0,0.002816207272855282,0.0
