rank,person_seconds,cell_row,cell_col,x,y
1,19.449989318847656,14,58,11.625,3.625
2,16.250038146972656,30,18,1.625,7.625
3,13.850034713745117,36,15,0.875,9.125
4,11.650026321411133,38,19,1.875,9.625
5,9.950019836425781,32,15,0.875,8.125
6,9.650018692016602,38,42,7.625,9.625
7,9.550018310546875,34,15,0.875,8.625
8,9.300017356872559,8,50,9.625,2.125
9,9.250017166137695,31,15,0.875,7.875
10,9.250017166137695,8,17,1.375,2.125
11,9.150016784667969,33,73,15.375,8.375
12,9.100016593933105,45,18,1.625,11.375
13,8.800015449523926,35,15,0.875,8.875
14,8.650014877319336,30,17,1.375,7.625
15,8.55001449584961,38,18,1.625,9.625
16,8.40001392364502,44,18,1.625,11.125
17,8.40001392364502,50,19,1.875,12.625
18,8.40001392364502,51,18,1.625,12.875
19,8.300013542175293,9,27,3.875,2.375
20,8.150012969970703,33,15,0.875,8.375
21,8.050012588500977,8,66,13.625,2.125
22,7.900012016296387,8,33,5.375,2.125
23,7.450010299682617,4,22,2.625,1.125
24,7.200009346008301,53,14,0.625,13.375
25,7.1500091552734375,39,16,1.125,9.875
