rank,person_seconds,cell_row,cell_col,x,y
1,4.2999982833862305,17,33,5.375,4.375
2,3.749997615814209,29,42,7.625,7.375
3,3.249998092651367,19,18,1.625,4.875
4,2.4999988079071045,50,19,1.875,12.625
5,2.2999989986419678,51,18,1.625,12.875
6,2.2499990463256836,49,20,2.125,12.375
7,1.949999213218689,52,17,1.375,13.125
8,1.8999992609024048,53,14,0.625,13.375
9,1.7499994039535522,53,12,0.125,13.375
10,1.5999995470046997,53,13,0.375,13.375
11,1.5499995946884155,53,11,-0.125,13.375
12,1.4999996423721313,45,26,3.625,11.375
13,1.4999996423721313,53,15,0.875,13.375
14,1.4999996423721313,47,21,2.375,11.875
15,1.4499996900558472,45,25,3.375,11.375
16,1.4499996900558472,43,27,3.875,10.875
17,1.4499996900558472,46,23,2.875,11.625
18,1.399999737739563,53,10,-0.375,13.375
19,1.399999737739563,52,16,1.125,13.125
20,1.3499997854232788,48,20,2.125,12.125
21,1.2999998331069946,42,27,3.875,10.625
22,1.1999999284744263,41,27,3.875,10.375
23,1.1999999284744263,47,22,2.625,11.875
24,1.149999976158142,46,24,3.125,11.625
25,1.100000023841858,56,2,-2.375,14.125
