rank,person_seconds,cell_row,cell_col,x,y
1,0.4500000476837158,56,2,-2.375,14.125
2,0.3500000238418579,56,3,-2.125,14.125
3,0.30000001192092896,53,5,-1.625,13.375
4,0.30000001192092896,55,6,-1.375,13.875
5,0.25,53,11,-0.125,13.375
6,0.25,54,9,-0.625,13.625
7,0.25,54,8,-0.875,13.625
8,0.25,55,5,-1.625,13.875
9,0.25,53,13,0.375,13.375
10,0.20000000298023224,55,4,-1.875,13.875
11,0.20000000298023224,53,12,0.125,13.375
12,0.15000000596046448,53,10,-0.375,13.375
13,0.15000000596046448,54,7,-1.125,13.625
14,0.10000000149011612,54,10,-0.375,13.625
15,0.10000000149011612,56,4,-1.875,14.125
16,0.10000000149011612,55,7,-1.125,13.875
17,0.05000000074505806,53,4,-1.875,13.375
18,0.0,59,91,19.875,14.875
19,0.0,59,90,19.625,14.875
20,0.0,59,89,19.375,14.875
21,0.0,59,88,19.125,14.875
22,0.0,59,87,18.875,14.875
23,0.0,59,86,18.625,14.875
24,0.0,59,85,18.375,14.875
25,0.0,59,84,18.125,14.875
