rank,person_seconds,cell_row,cell_col,x,y
1,0.5000000596046448,53,14,0.625,13.375
2,0.4500000476837158,54,6,-1.375,13.625
3,0.4500000476837158,56,8,-0.875,14.125
4,0.40000003576278687,53,13,0.375,13.375
5,0.3500000238418579,53,15,0.875,13.375
6,0.3500000238418579,55,9,-0.625,13.875
7,0.30000001192092896,53,8,-0.875,13.375
8,0.30000001192092896,52,17,1.375,13.125
9,0.30000001192092896,53,12,0.125,13.375
10,0.30000001192092896,50,19,1.875,12.625
11,0.30000001192092896,46,18,1.625,11.625
12,0.30000001192092896,48,19,1.875,12.125
13,0.30000001192092896,55,10,-0.375,13.875
14,0.30000001192092896,54,12,0.125,13.625
15,0.25,54,7,-1.125,13.625
16,0.25,53,9,-0.625,13.375
17,0.25,53,10,-0.375,13.375
18,0.25,53,11,-0.125,13.375
19,0.25,49,19,1.875,12.375
20,0.25,53,16,1.125,13.375
21,0.25,54,11,-0.125,13.625
22,0.20000000298023224,51,18,1.625,12.875
23,0.20000000298023224,56,7,-1.125,14.125
24,0.15000000596046448,54,5,-1.625,13.625
25,0.15000000596046448,47,19,1.875,11.875
