rank,person_seconds,cell_row,cell_col,x,y
1,24.899906158447266,47,66,13.625,11.875
2,18.650001525878906,21,57,11.375,5.375
3,18.300006866455078,50,66,13.625,12.625
4,17.500019073486328,18,42,7.625,4.625
5,16.20003890991211,47,65,13.375,11.875
6,16.000041961669922,51,18,1.625,12.875
7,15.700041770935059,43,34,5.625,10.875
8,15.400040626525879,48,49,9.375,12.125
9,15.1000394821167,50,19,1.875,12.625
10,13.800034523010254,51,73,15.375,12.875
11,13.250032424926758,53,14,0.625,13.375
12,13.150032043457031,31,18,1.625,7.875
13,13.050031661987305,45,19,1.875,11.375
14,12.850030899047852,23,65,13.375,5.875
15,12.800030708312988,33,27,3.875,8.375
16,12.700030326843262,50,67,13.875,12.625
17,12.450029373168945,7,33,5.375,1.875
18,12.300028800964355,38,42,7.625,9.625
19,12.150028228759766,44,19,1.875,11.125
20,12.150028228759766,22,57,11.375,5.625
21,11.75002670288086,8,17,1.375,2.125
22,11.700026512145996,16,18,1.625,4.125
23,11.650026321411133,22,18,1.625,5.625
24,11.650026321411133,19,74,15.625,4.875
25,11.650026321411133,36,83,17.875,9.125
