rank,person_seconds,cell_row,cell_col,x,y
1,4.099997520446777,30,17,1.375,7.625
2,1.399999737739563,51,18,1.625,12.875
3,1.1999999284744263,53,14,0.625,13.375
4,1.149999976158142,32,17,1.375,8.125
5,1.100000023841858,50,19,1.875,12.625
6,1.0000001192092896,53,13,0.375,13.375
7,0.9500001668930054,52,16,1.125,13.125
8,0.8500001430511475,49,19,1.875,12.375
9,0.8000001311302185,52,17,1.375,13.125
10,0.8000001311302185,53,12,0.125,13.375
11,0.7500001192092896,53,15,0.875,13.375
12,0.7500001192092896,53,11,-0.125,13.375
13,0.7000001072883606,55,6,-1.375,13.875
14,0.6500000953674316,31,16,1.125,7.875
15,0.6000000834465027,48,19,1.875,12.125
16,0.6000000834465027,53,10,-0.375,13.375
17,0.6000000834465027,53,9,-0.625,13.375
18,0.5500000715255737,52,15,0.875,13.125
19,0.5500000715255737,33,17,1.375,8.375
20,0.5500000715255737,54,9,-0.625,13.625
21,0.5000000596046448,54,12,0.125,13.625
22,0.5000000596046448,56,8,-0.875,14.125
23,0.5000000596046448,47,19,1.875,11.875
24,0.5000000596046448,34,17,1.375,8.625
25,0.5000000596046448,44,19,1.875,11.125
