rank,person_seconds,cell_row,cell_col,x,y
1,0.5500000715255737,54,9,-0.625,13.625
2,0.4500000476837158,57,7,-1.125,14.375
3,0.3500000238418579,51,18,1.625,12.875
4,0.3500000238418579,54,10,-0.375,13.625
5,0.30000001192092896,53,12,0.125,13.375
6,0.30000001192092896,50,19,1.875,12.625
7,0.30000001192092896,56,9,-0.625,14.125
8,0.25,53,13,0.375,13.375
9,0.25,49,19,1.875,12.375
10,0.25,52,16,1.125,13.125
11,0.25,52,15,0.875,13.125
12,0.25,53,14,0.625,13.375
13,0.20000000298023224,57,8,-0.875,14.375
14,0.20000000298023224,56,8,-0.875,14.125
15,0.15000000596046448,53,11,-0.125,13.375
16,0.15000000596046448,52,17,1.375,13.125
17,0.10000000149011612,48,19,1.875,12.125
18,0.10000000149011612,51,17,1.375,12.875
19,0.10000000149011612,54,11,-0.125,13.625
20,0.05000000074505806,54,8,-0.875,13.625
21,0.0,59,91,19.875,14.875
22,0.0,59,90,19.625,14.875
23,0.0,59,89,19.375,14.875
24,0.0,59,88,19.125,14.875
25,0.0,59,87,18.875,14.875
