rank,person_seconds,cell_row,cell_col,x,y
1,5.000000953674316,36,33,5.375,9.125
2,5.000000953674316,14,18,1.625,3.625
3,3.8999974727630615,45,33,5.375,11.375
4,3.449997901916504,15,16,1.125,3.875
5,2.9999983310699463,15,18,1.625,3.875
6,2.7499985694885254,50,19,1.875,12.625
7,2.649998664855957,23,18,1.625,5.875
8,2.5499987602233887,49,20,2.125,12.375
9,2.4499988555908203,51,18,1.625,12.875
10,2.2499990463256836,53,14,0.625,13.375
11,2.1999990940093994,46,23,2.875,11.625
12,2.049999237060547,47,21,2.375,11.875
13,1.949999213218689,52,17,1.375,13.125
14,1.8999992609024048,53,12,0.125,13.375
15,1.7499994039535522,6,19,1.875,1.625
16,1.7499994039535522,53,13,0.375,13.375
17,1.699999451637268,47,22,2.625,11.875
18,1.6499994993209839,53,11,-0.125,13.375
19,1.6499994993209839,52,16,1.125,13.125
20,1.5999995470046997,48,20,2.125,12.125
21,1.4999996423721313,45,26,3.625,11.375
22,1.4999996423721313,46,24,3.125,11.625
23,1.4499996900558472,53,15,0.875,13.375
24,1.4499996900558472,43,27,3.875,10.875
25,1.4499996900558472,6,26,3.625,1.625
