rank,person_seconds,cell_row,cell_col,x,y
1,99.3514633178711,22,59,11.875,5.625
2,77.50012969970703,14,35,5.875,3.625
3,52.3494873046875,38,18,1.625,9.625
4,52.29948806762695,22,67,13.875,5.625
5,42.14964294433594,14,51,9.875,3.625
6,32.2997932434082,23,41,7.375,5.875
7,26.7498779296875,9,17,1.375,2.375
8,23.149932861328125,14,50,9.625,3.625
9,22.849937438964844,14,32,5.125,3.625
10,21.899951934814453,14,74,15.625,3.625
11,21.049964904785156,22,56,11.125,5.625
12,20.949966430664062,15,32,5.125,3.875
13,20.749969482421875,15,48,9.125,3.875
14,20.399974822998047,20,48,9.125,5.125
15,20.149978637695312,22,51,9.875,5.625
16,20.099979400634766,17,48,9.125,4.375
17,19.84998321533203,19,48,9.125,4.875
18,19.84998321533203,47,55,10.875,11.875
19,18.350006103515625,22,48,9.125,5.625
20,18.150009155273438,51,18,1.625,12.875
21,17.95001220703125,31,41,7.375,7.875
22,17.900012969970703,50,19,1.875,12.625
23,17.900012969970703,21,48,9.125,5.375
24,17.750015258789062,18,48,9.125,4.625
25,17.65001678466797,16,48,9.125,4.125
