rank,person_seconds,cell_row,cell_col,x,y
1,11.90002727508545,42,19,1.875,10.625
2,7.600010871887207,43,19,1.875,10.875
3,5.350002288818359,30,18,1.625,7.625
4,5.150001525878906,17,18,1.625,4.375
5,4.2999982833862305,5,24,3.125,1.375
6,4.049997329711914,22,19,1.875,5.625
7,3.5499978065490723,22,16,1.125,5.625
8,3.149998188018799,16,16,1.125,4.125
9,3.149998188018799,51,18,1.625,12.875
10,3.0999982357025146,37,42,7.625,9.375
11,3.0499982833862305,50,19,1.875,12.625
12,2.8499984741210938,53,14,0.625,13.375
13,2.699998617172241,28,15,0.875,7.125
14,2.649998664855957,53,13,0.375,13.375
15,2.649998664855957,53,11,-0.125,13.375
16,2.599998712539673,52,17,1.375,13.125
17,2.5499987602233887,53,12,0.125,13.375
18,2.4499988555908203,49,19,1.875,12.375
19,2.399998903274536,39,17,1.375,9.875
20,2.399998903274536,53,15,0.875,13.375
21,2.399998903274536,48,19,1.875,12.125
22,2.2999989986419678,8,17,1.375,2.125
23,2.2499990463256836,44,18,1.625,11.125
24,2.2499990463256836,53,10,-0.375,13.375
25,2.1999990940093994,45,18,1.625,11.375
