rank,person_seconds,cell_row,cell_col,x,y
1,4.699999809265137,17,17,1.375,4.375
2,3.99999737739563,30,17,1.375,7.625
3,3.8999974727630615,29,42,7.625,7.375
4,3.2999980449676514,9,18,1.625,2.375
5,1.9999991655349731,51,18,1.625,12.875
6,1.8499993085861206,50,19,1.875,12.625
7,1.7499994039535522,53,14,0.625,13.375
8,1.5999995470046997,53,15,0.875,13.375
9,1.5499995946884155,52,16,1.125,13.125
10,1.4499996900558472,54,13,0.375,13.625
11,1.4499996900558472,56,10,-0.375,14.125
12,1.399999737739563,52,17,1.375,13.125
13,1.1999999284744263,44,19,1.875,11.125
14,1.1999999284744263,49,19,1.875,12.375
15,1.149999976158142,37,17,1.375,9.375
16,1.149999976158142,31,17,1.375,7.875
17,1.100000023841858,54,12,0.125,13.625
18,1.100000023841858,55,11,-0.125,13.875
19,1.0500000715255737,45,19,1.875,11.375
20,1.0000001192092896,32,17,1.375,8.125
21,1.0000001192092896,48,19,1.875,12.125
22,1.0000001192092896,47,19,1.875,11.875
23,1.0000001192092896,42,18,1.625,10.625
24,1.0000001192092896,30,42,7.625,7.625
25,1.0000001192092896,33,17,1.375,8.375
