rank,person_seconds,cell_row,cell_col,x,y
1,1.2999998331069946,50,19,1.875,12.625
2,1.1999999284744263,51,18,1.625,12.875
3,0.9500001668930054,53,14,0.625,13.375
4,0.8500001430511475,49,20,2.125,12.375
5,0.8500001430511475,52,17,1.375,13.125
6,0.8000001311302185,52,16,1.125,13.125
7,0.7500001192092896,53,15,0.875,13.375
8,0.7000001072883606,53,13,0.375,13.375
9,0.7000001072883606,47,22,2.625,11.875
10,0.6000000834465027,47,21,2.375,11.875
11,0.6000000834465027,53,12,0.125,13.375
12,0.5500000715255737,53,6,-1.375,13.375
13,0.5500000715255737,57,9,-0.625,14.375
14,0.5000000596046448,53,10,-0.375,13.375
15,0.5000000596046448,53,11,-0.125,13.375
16,0.5000000596046448,58,7,-1.125,14.625
17,0.5000000596046448,56,10,-0.375,14.125
18,0.5000000596046448,48,20,2.125,12.125
19,0.5000000596046448,48,21,2.375,12.125
20,0.4500000476837158,54,13,0.375,13.625
21,0.4500000476837158,55,8,-0.875,13.875
22,0.4500000476837158,55,12,0.125,13.875
23,0.4500000476837158,46,24,3.125,11.625
24,0.40000003576278687,46,23,2.875,11.625
25,0.3500000238418579,58,8,-0.875,14.625
