rank,person_seconds,cell_row,cell_col,x,y
1,0.6000000834465027,56,6,-1.375,14.125
2,0.4500000476837158,54,5,-1.625,13.625
3,0.30000001192092896,54,6,-1.375,13.625
4,0.30000001192092896,50,19,1.875,12.625
5,0.30000001192092896,55,8,-0.875,13.875
6,0.30000001192092896,55,7,-1.125,13.875
7,0.30000001192092896,51,18,1.625,12.875
8,0.30000001192092896,53,7,-1.125,13.375
9,0.30000001192092896,49,20,2.125,12.375
10,0.30000001192092896,54,10,-0.375,13.625
11,0.25,52,16,1.125,13.125
12,0.25,53,14,0.625,13.375
13,0.25,53,13,0.375,13.375
14,0.25,53,12,0.125,13.375
15,0.25,52,15,0.875,13.125
16,0.25,53,8,-0.875,13.375
17,0.25,54,11,-0.125,13.625
18,0.20000000298023224,47,21,2.375,11.875
19,0.15000000596046448,55,9,-0.625,13.875
20,0.15000000596046448,52,17,1.375,13.125
21,0.15000000596046448,48,20,2.125,12.125
22,0.10000000149011612,51,17,1.375,12.875
23,0.10000000149011612,54,9,-0.625,13.625
24,0.10000000149011612,48,21,2.375,12.125
25,0.05000000074505806,50,20,2.125,12.625
