rank,person_seconds,cell_row,cell_col,x,y
1,0.4500000476837158,56,6,-1.375,14.125
2,0.40000003576278687,53,6,-1.375,13.375
3,0.3500000238418579,53,12,0.125,13.375
4,0.30000001192092896,52,17,1.375,13.125
5,0.30000001192092896,55,8,-0.875,13.875
6,0.30000001192092896,53,7,-1.125,13.375
7,0.30000001192092896,50,19,1.875,12.625
8,0.30000001192092896,49,20,2.125,12.375
9,0.30000001192092896,53,5,-1.625,13.375
10,0.30000001192092896,47,21,2.375,11.875
11,0.25,53,9,-0.625,13.375
12,0.25,53,8,-0.875,13.375
13,0.25,56,5,-1.625,14.125
14,0.25,54,11,-0.125,13.625
15,0.25,54,10,-0.375,13.625
16,0.25,51,18,1.625,12.875
17,0.25,53,10,-0.375,13.375
18,0.25,53,15,0.875,13.375
19,0.25,53,14,0.625,13.375
20,0.25,53,11,-0.125,13.375
21,0.25,55,9,-0.625,13.875
22,0.20000000298023224,53,13,0.375,13.375
23,0.20000000298023224,46,22,2.625,11.625
24,0.15000000596046448,48,20,2.125,12.125
25,0.15000000596046448,55,7,-1.125,13.875
