rank,person_seconds,cell_row,cell_col,x,y
1,56.099430084228516,18,75,15.875,4.625
2,51.649497985839844,50,67,13.875,12.625
3,42.999629974365234,47,66,13.625,11.875
4,38.6996955871582,49,67,13.875,12.375
5,35.74974060058594,47,65,13.375,11.875
6,34.69975662231445,47,68,14.125,11.875
7,33.29977798461914,43,19,1.875,10.875
8,32.899784088134766,19,64,13.125,4.875
9,31.499805450439453,45,22,2.625,11.375
10,31.24980926513672,46,62,12.625,11.625
11,31.199810028076172,48,67,13.875,12.125
12,29.999828338623047,19,75,15.875,4.875
13,29.699832916259766,39,64,13.125,9.875
14,28.04985809326172,45,65,13.375,11.375
15,26.59988021850586,42,65,13.375,10.625
16,25.899890899658203,9,17,1.375,2.375
17,25.549896240234375,45,64,13.125,11.375
18,25.049903869628906,50,74,15.625,12.625
19,25.049903869628906,37,16,1.125,9.375
20,24.799907684326172,36,64,13.125,9.125
21,24.699909210205078,24,65,13.375,6.125
22,24.04991912841797,45,23,2.875,11.375
23,23.69992446899414,18,64,13.125,4.625
24,23.5499267578125,39,65,13.375,9.875
25,23.39992904663086,42,19,1.875,10.625
