rank,person_seconds,cell_row,cell_col,x,y
1,3.799997568130493,36,33,5.375,9.125
2,2.349998950958252,11,41,7.375,2.875
3,1.699999451637268,51,18,1.625,12.875
4,1.5999995470046997,50,19,1.875,12.625
5,1.4999996423721313,52,17,1.375,13.125
6,1.399999737739563,53,14,0.625,13.375
7,1.3499997854232788,53,11,-0.125,13.375
8,1.2999998331069946,53,13,0.375,13.375
9,1.1999999284744263,53,12,0.125,13.375
10,1.149999976158142,53,15,0.875,13.375
11,1.100000023841858,49,20,2.125,12.375
12,1.0500000715255737,39,17,1.375,9.875
13,0.9500001668930054,53,10,-0.375,13.375
14,0.9000001549720764,52,16,1.125,13.125
15,0.8500001430511475,55,6,-1.375,13.875
16,0.8500001430511475,47,21,2.375,11.875
17,0.8500001430511475,53,9,-0.625,13.375
18,0.8500001430511475,54,8,-0.875,13.625
19,0.8500001430511475,55,7,-1.125,13.875
20,0.8500001430511475,46,24,3.125,11.625
21,0.8000001311302185,54,9,-0.625,13.625
22,0.8000001311302185,47,22,2.625,11.875
23,0.7500001192092896,46,23,2.875,11.625
24,0.7500001192092896,53,16,1.125,13.375
25,0.6500000953674316,48,20,2.125,12.125
