rank,person_seconds,cell_row,cell_col,x,y
1,62.6993293762207,38,18,1.625,9.625
2,43.69961929321289,38,19,1.875,9.625
3,14.450037002563477,37,84,18.125,9.375
4,14.250036239624023,51,18,1.625,12.875
5,13.800034523010254,39,16,1.125,9.875
6,13.75003433227539,50,19,1.875,12.625
7,13.000031471252441,20,41,7.375,5.125
8,12.850030899047852,36,15,0.875,9.125
9,12.400029182434082,9,27,3.875,2.375
10,11.550025939941406,43,50,9.625,10.875
11,11.200024604797363,53,14,0.625,13.375
12,11.100024223327637,42,82,17.625,10.625
13,10.950023651123047,6,43,7.875,1.625
14,10.650022506713867,49,73,15.375,12.375
15,10.650022506713867,7,17,1.375,1.875
16,10.650022506713867,37,42,7.625,9.375
17,10.600022315979004,29,42,7.625,7.375
18,10.500021934509277,48,53,10.375,12.125
19,10.450021743774414,25,66,13.625,6.375
20,10.300021171569824,32,74,15.625,8.125
21,10.300021171569824,22,58,11.625,5.625
22,10.150020599365234,21,73,15.375,5.375
23,10.150020599365234,25,65,13.375,6.375
24,10.050020217895508,14,34,5.625,3.625
25,10.050020217895508,8,66,13.625,2.125
