rank,person_seconds,cell_row,cell_col,x,y
1,21.599956512451172,45,22,2.625,11.375
2,11.100024223327637,26,34,5.625,6.625
3,9.550018310546875,25,34,5.625,6.375
4,9.300017356872559,30,57,11.375,7.625
5,9.100016593933105,44,19,1.875,11.125
6,8.900015830993652,20,41,7.375,5.125
7,8.650014877319336,4,23,2.875,1.125
8,8.40001392364502,50,19,1.875,12.625
9,8.200013160705566,24,65,13.375,6.125
10,8.200013160705566,51,18,1.625,12.875
11,8.050012588500977,10,49,9.375,2.625
12,7.65001106262207,29,41,7.375,7.375
13,7.550010681152344,21,57,11.375,5.375
14,6.850008010864258,53,14,0.625,13.375
15,6.350006103515625,23,17,1.375,5.875
16,6.350006103515625,44,33,5.375,11.125
17,6.200005531311035,4,24,3.125,1.125
18,6.050004959106445,31,17,1.375,7.875
19,6.000004768371582,36,34,5.625,9.125
20,5.9000043869018555,52,17,1.375,13.125
21,5.800004005432129,17,17,1.375,4.375
22,5.800004005432129,21,17,1.375,5.375
23,5.700003623962402,40,42,7.625,10.125
24,5.700003623962402,37,18,1.625,9.375
25,5.650003433227539,4,22,2.625,1.125
