rank,person_seconds,cell_row,cell_col,x,y
1,68.74959564208984,45,22,2.625,11.375
2,41.34965515136719,41,19,1.875,10.375
3,27.349868774414062,45,23,2.875,11.375
4,19.149993896484375,40,19,1.875,10.125
5,15.700041770935059,9,50,9.625,2.375
6,15.600041389465332,4,55,10.875,1.125
7,14.80003833770752,16,18,1.625,4.125
8,14.20003604888916,49,53,10.375,12.375
9,13.75003433227539,9,73,15.375,2.375
10,13.650033950805664,50,19,1.875,12.625
11,13.200032234191895,51,18,1.625,12.875
12,13.100031852722168,43,18,1.625,10.875
13,13.050031661987305,9,17,1.375,2.375
14,12.550029754638672,45,21,2.375,11.375
15,11.800026893615723,4,68,14.125,1.125
16,11.30002498626709,38,17,1.375,9.625
17,11.00002384185791,7,17,1.375,1.875
18,10.650022506713867,53,14,0.625,13.375
19,10.600022315979004,8,73,15.375,2.125
20,10.55002212524414,49,31,4.875,12.375
21,10.350021362304688,22,57,11.375,5.625
22,10.250020980834961,4,42,7.625,1.125
23,10.000020027160645,37,83,17.875,9.375
24,9.500018119812012,4,24,3.125,1.125
25,9.450017929077148,8,17,1.375,2.125
