agent_id,spawn_time,activated_at,exit_time,travel_time,distance,mean_speed,idle_time,queue_time,time_street,time_vestibule,time_store,time_queue
2086580364224,0.0,0.05,,,0.0,0.812480670418345,7.4499999999999815,0.0,1.0500000000000003,2.000000000000001,43.79999999999965,0.0
2086580978704,0.0,3.4999999999999956,,,0.0,0.7380721016478311,7.599999999999981,1.800000000000001,1.1500000000000004,1.900000000000001,38.49999999999995,1.800000000000001
2086580979664,0.0,6.199999999999986,,,0.0,0.7243215711874972,9.800000000000004,4.249999999999993,2.0500000000000007,1.850000000000001,32.50000000000029,4.249999999999993
2086580392176,0.0,9.55,,,0.0,0.7532481314224925,5.649999999999988,0.0,1.7000000000000008,1.850000000000001,33.80000000000022,0.0
2086580392784,0.0,12.250000000000039,,,0.0,0.7535983023144026,5.04999999999999,0.0,1.3000000000000005,1.950000000000001,31.40000000000031,0.0
2086545942448,0.0,15.750000000000089,,,0.0,0.8619344432725032,3.349999999999996,0.0,1.6000000000000008,2.000000000000001,27.550000000000257,0.0
2086580235232,0.0,18.900000000000134,,,0.0,0.7207379046812354,6.299999999999986,0.0,1.5500000000000007,1.950000000000001,24.500000000000213,0.0
2086580235504,0.0,21.850000000000176,,,0.0,0.8904343656086433,1.900000000000001,0.0,1.3000000000000005,2.1000000000000005,21.650000000000173,0.0
2086580407888,0.0,24.650000000000215,,,0.0,0.7969004555939014,3.4499999999999957,0.0,2.3,1.950000000000001,18.00000000000012,0.0
2086580408400,0.0,28.300000000000267,,,0.0,0.7498446144869991,3.649999999999995,0.0,2.000000000000001,2.1000000000000005,14.500000000000071,0.0
2086581061344,0.0,31.95000000000032,,,0.0,0.7678663510871628,2.4499999999999993,0.0,1.800000000000001,1.950000000000001,11.150000000000023,0.0
2086581061824,0.0,35.40000000000013,,,0.0,0.8197968815273279,0.2,0.0,2.849999999999998,2.1500000000000004,6.449999999999985,0.0
2086580155600,0.0,37.94999999999998,,,0.0,0.8975943406744911,0.05,0.0,2.499999999999999,1.950000000000001,4.449999999999992,0.0
2086580153584,0.0,41.29999999999979,,,0.0,0.9023731296494311,0.05,0.0,1.850000000000001,2.0500000000000007,1.6500000000000008,0.0
2086580314944,0.0,44.5999999999996,,,0.0,0.8199815171998265,0.05,0.0,2.2,0.05,0.0,0.0
