rank,person_seconds,cell_row,cell_col,x,y
1,6.350006103515625,44,50,9.625,11.125
2,5.250001907348633,21,18,1.625,5.375
3,5.05000114440918,22,18,1.625,5.625
4,5.05000114440918,11,42,7.625,2.875
5,4.800000190734863,11,58,11.625,2.875
6,4.75,38,42,7.625,9.625
7,4.649999618530273,9,18,1.625,2.375
8,4.59999942779541,38,18,1.625,9.625
9,4.2999982833862305,21,41,7.375,5.375
10,4.2999982833862305,50,19,1.875,12.625
11,4.099997520446777,15,16,1.125,3.875
12,3.8499975204467773,9,17,1.375,2.375
13,3.8499975204467773,51,18,1.625,12.875
14,3.449997901916504,14,17,1.375,3.625
15,3.449997901916504,12,41,7.375,3.125
16,3.2999980449676514,38,41,7.375,9.625
17,2.949998378753662,52,17,1.375,13.125
18,2.949998378753662,53,14,0.625,13.375
19,2.899998426437378,41,26,3.625,10.375
20,2.899998426437378,5,67,13.875,1.375
21,2.8499984741210938,53,15,0.875,13.375
22,2.7499985694885254,24,66,13.625,6.125
23,2.699998617172241,53,11,-0.125,13.375
24,2.649998664855957,53,12,0.125,13.375
25,2.599998712539673,9,49,9.375,2.375
