rank,person_seconds,cell_row,cell_col,x,y
1,0.7500001192092896,53,14,0.625,13.375
2,0.6500000953674316,51,18,1.625,12.875
3,0.6000000834465027,49,19,1.875,12.375
4,0.6000000834465027,56,8,-0.875,14.125
5,0.6000000834465027,55,6,-1.375,13.875
6,0.5000000596046448,54,12,0.125,13.625
7,0.5000000596046448,52,16,1.125,13.125
8,0.5000000596046448,50,19,1.875,12.625
9,0.5000000596046448,44,19,1.875,11.125
10,0.5000000596046448,55,10,-0.375,13.875
11,0.5000000596046448,45,19,1.875,11.375
12,0.5000000596046448,48,19,1.875,12.125
13,0.5000000596046448,46,19,1.875,11.625
14,0.5000000596046448,47,19,1.875,11.875
15,0.4500000476837158,57,7,-1.125,14.375
16,0.4500000476837158,53,13,0.375,13.375
17,0.40000003576278687,52,17,1.375,13.125
18,0.40000003576278687,56,7,-1.125,14.125
19,0.3500000238418579,54,11,-0.125,13.625
20,0.3500000238418579,52,15,0.875,13.125
21,0.3500000238418579,56,9,-0.625,14.125
22,0.30000001192092896,53,11,-0.125,13.375
23,0.30000001192092896,55,9,-0.625,13.875
24,0.30000001192092896,54,8,-0.875,13.625
25,0.30000001192092896,43,18,1.625,10.875
