rank,person_seconds,cell_row,cell_col,x,y
1,0.4500000476837158,55,7,-1.125,13.875
2,0.30000001192092896,54,13,0.375,13.625
3,0.30000001192092896,50,20,2.125,12.625
4,0.30000001192092896,56,10,-0.375,14.125
5,0.30000001192092896,55,8,-0.875,13.875
6,0.30000001192092896,57,9,-0.625,14.375
7,0.30000001192092896,51,18,1.625,12.875
8,0.25,50,21,2.375,12.625
9,0.25,52,16,1.125,13.125
10,0.25,53,15,0.875,13.375
11,0.25,51,21,2.375,12.875
12,0.25,55,12,0.125,13.875
13,0.20000000298023224,53,14,0.625,13.375
14,0.20000000298023224,56,11,-0.125,14.125
15,0.20000000298023224,56,6,-1.375,14.125
16,0.20000000298023224,57,10,-0.375,14.375
17,0.15000000596046448,52,17,1.375,13.125
18,0.15000000596046448,55,11,-0.125,13.875
19,0.15000000596046448,50,19,1.875,12.625
20,0.15000000596046448,55,9,-0.625,13.875
21,0.15000000596046448,51,17,1.375,12.875
22,0.10000000149011612,54,12,0.125,13.625
23,0.10000000149011612,54,9,-0.625,13.625
24,0.10000000149011612,51,19,1.875,12.875
25,0.05000000074505806,52,15,0.875,13.125
