rank,person_seconds,cell_row,cell_col,x,y
1,55.149444580078125,50,63,12.875,12.625
2,15.950042724609375,9,50,9.625,2.375
3,14.000035285949707,51,18,1.625,12.875
4,13.850034713745117,50,19,1.875,12.625
5,13.500033378601074,15,34,5.625,3.875
6,13.450033187866211,14,33,5.375,3.625
7,12.500029563903809,45,29,4.375,11.375
8,12.400029182434082,21,58,11.625,5.375
9,12.050027847290039,20,57,11.375,5.125
10,11.700026512145996,8,33,5.375,2.125
11,11.500025749206543,53,14,0.625,13.375
12,11.500025749206543,36,17,1.375,9.125
13,11.400025367736816,46,83,17.875,11.625
14,11.00002384185791,42,58,11.625,10.625
15,11.00002384185791,22,57,11.375,5.625
16,10.950023651123047,39,17,1.375,9.875
17,10.800023078918457,9,74,15.625,2.375
18,10.650022506713867,38,17,1.375,9.625
19,10.600022315979004,9,49,9.375,2.375
20,10.500021934509277,38,42,7.625,9.625
21,10.500021934509277,4,67,13.875,1.125
22,10.300021171569824,46,82,17.625,11.625
23,10.100020408630371,21,57,11.375,5.375
24,10.000020027160645,19,42,7.625,4.875
25,9.800019264221191,52,16,1.125,13.125
