rank,person_seconds,cell_row,cell_col,x,y
1,0.9500001668930054,51,18,1.625,12.875
2,0.8000001311302185,49,19,1.875,12.375
3,0.8000001311302185,50,19,1.875,12.625
4,0.7500001192092896,47,19,1.875,11.875
5,0.7500001192092896,48,19,1.875,12.125
6,0.7500001192092896,52,16,1.125,13.125
7,0.7000001072883606,53,14,0.625,13.375
8,0.7000001072883606,46,19,1.875,11.625
9,0.6500000953674316,45,19,1.875,11.375
10,0.6500000953674316,54,11,-0.125,13.625
11,0.6500000953674316,44,19,1.875,11.125
12,0.6000000834465027,55,9,-0.625,13.875
13,0.6000000834465027,56,7,-1.125,14.125
14,0.5500000715255737,42,18,1.625,10.625
15,0.5500000715255737,58,6,-1.375,14.625
16,0.5000000596046448,38,17,1.375,9.625
17,0.5000000596046448,56,6,-1.375,14.125
18,0.5000000596046448,39,17,1.375,9.875
19,0.5000000596046448,52,17,1.375,13.125
20,0.4500000476837158,56,3,-2.125,14.125
21,0.4500000476837158,53,13,0.375,13.375
22,0.4500000476837158,52,15,0.875,13.125
23,0.4500000476837158,55,8,-0.875,13.875
24,0.40000003576278687,53,15,0.875,13.375
25,0.40000003576278687,37,17,1.375,9.375
