rank,person_seconds,cell_row,cell_col,x,y
1,0.6500000953674316,51,18,1.625,12.875
2,0.5500000715255737,53,14,0.625,13.375
3,0.5000000596046448,53,12,0.125,13.375
4,0.4500000476837158,53,5,-1.625,13.375
5,0.4500000476837158,53,11,-0.125,13.375
6,0.4500000476837158,52,17,1.375,13.125
7,0.4500000476837158,53,13,0.375,13.375
8,0.40000003576278687,50,19,1.875,12.625
9,0.40000003576278687,52,16,1.125,13.125
10,0.3500000238418579,54,9,-0.625,13.625
11,0.30000001192092896,53,6,-1.375,13.375
12,0.30000001192092896,54,8,-0.875,13.625
13,0.30000001192092896,54,10,-0.375,13.625
14,0.25,49,19,1.875,12.375
15,0.25,48,19,1.875,12.125
16,0.25,44,18,1.625,11.125
17,0.25,53,15,0.875,13.375
18,0.25,47,19,1.875,11.875
19,0.25,53,10,-0.375,13.375
20,0.25,53,9,-0.625,13.375
21,0.25,53,8,-0.875,13.375
22,0.25,53,7,-1.125,13.375
23,0.25,52,15,0.875,13.125
24,0.20000000298023224,46,19,1.875,11.625
25,0.20000000298023224,53,4,-1.875,13.375
