rank,person_seconds,cell_row,cell_col,x,y
1,4.349998474121094,43,19,1.875,10.875
2,3.9499974250793457,4,43,7.875,1.125
3,3.3999979496002197,37,18,1.625,9.375
4,3.2999980449676514,20,42,7.625,5.125
5,3.199998140335083,43,27,3.875,10.875
6,2.949998378753662,45,23,2.875,11.375
7,2.349998950958252,51,18,1.625,12.875
8,2.2499990463256836,50,19,1.875,12.625
9,2.1499991416931152,42,19,1.875,10.625
10,2.099999189376831,44,19,1.875,11.125
11,1.8999992609024048,52,17,1.375,13.125
12,1.8999992609024048,53,14,0.625,13.375
13,1.8499993085861206,7,18,1.625,1.875
14,1.699999451637268,52,16,1.125,13.125
15,1.5999995470046997,23,50,9.625,5.875
16,1.5499995946884155,53,12,0.125,13.375
17,1.5499995946884155,45,19,1.875,11.375
18,1.4999996423721313,53,15,0.875,13.375
19,1.4499996900558472,49,19,1.875,12.375
20,1.4499996900558472,53,11,-0.125,13.375
21,1.399999737739563,53,13,0.375,13.375
22,1.399999737739563,54,7,-1.125,13.625
23,1.2999998331069946,48,19,1.875,12.125
24,1.2999998331069946,47,19,1.875,11.875
25,1.1999999284744263,45,21,2.375,11.375
