rank,person_seconds,cell_row,cell_col,x,y
1,6.000004768371582,7,17,1.375,1.875
2,4.549999237060547,8,18,1.625,2.125
3,3.499997854232788,6,28,4.125,1.625
4,3.3999979496002197,14,17,1.375,3.625
5,3.0999982357025146,50,19,1.875,12.625
6,2.7999985218048096,18,27,3.875,4.625
7,2.7999985218048096,49,20,2.125,12.375
8,2.699998617172241,51,18,1.625,12.875
9,2.5499987602233887,53,14,0.625,13.375
10,2.4999988079071045,47,21,2.375,11.875
11,2.4999988079071045,53,13,0.375,13.375
12,2.4499988555908203,45,26,3.625,11.375
13,2.399998903274536,4,24,3.125,1.125
14,2.349998950958252,45,25,3.375,11.375
15,2.349998950958252,43,27,3.875,10.875
16,2.2999989986419678,46,23,2.875,11.625
17,2.2499990463256836,10,26,3.625,2.625
18,2.099999189376831,52,17,1.375,13.125
19,2.049999237060547,42,27,3.875,10.625
20,2.049999237060547,53,12,0.125,13.375
21,1.949999213218689,37,26,3.625,9.375
22,1.949999213218689,39,26,3.625,9.875
23,1.8999992609024048,11,27,3.875,2.875
24,1.8999992609024048,41,27,3.875,10.375
25,1.8499993085861206,48,20,2.125,12.125
