rank,person_seconds,cell_row,cell_col,x,y
1,58.39939498901367,45,22,2.625,11.375
2,24.249916076660156,45,23,2.875,11.375
3,15.000039100646973,5,22,2.625,1.375
4,12.500029563903809,5,43,7.875,1.375
5,11.75002670288086,4,43,7.875,1.125
6,11.1500244140625,50,19,1.875,12.625
7,11.00002384185791,51,18,1.625,12.875
8,10.950023651123047,42,72,15.125,10.625
9,10.40002155303955,45,21,2.375,11.375
10,10.250020980834961,38,18,1.625,9.625
11,9.650018692016602,43,18,1.625,10.875
12,9.450017929077148,42,34,5.625,10.625
13,9.450017929077148,8,18,1.625,2.125
14,9.350017547607422,5,68,14.125,1.375
15,9.350017547607422,9,66,13.625,2.375
16,9.200016975402832,26,33,5.375,6.625
17,9.150016784667969,53,14,0.625,13.375
18,9.100016593933105,32,74,15.625,8.125
19,9.100016593933105,4,30,4.625,1.125
20,9.050016403198242,29,18,1.625,7.375
21,8.900015830993652,45,19,1.875,11.375
22,8.55001449584961,38,17,1.375,9.625
23,7.80001163482666,52,17,1.375,13.125
24,7.700011253356934,5,54,10.625,1.375
25,7.65001106262207,30,18,1.625,7.625
