rank,person_seconds,cell_row,cell_col,x,y
1,0.5000000596046448,55,2,-2.375,13.875
2,0.4500000476837158,53,14,0.625,13.375
3,0.40000003576278687,57,8,-0.875,14.375
4,0.3500000238418579,56,10,-0.375,14.125
5,0.3500000238418579,55,3,-2.125,13.875
6,0.30000001192092896,44,19,1.875,11.125
7,0.30000001192092896,51,18,1.625,12.875
8,0.30000001192092896,57,9,-0.625,14.375
9,0.30000001192092896,52,16,1.125,13.125
10,0.25,53,13,0.375,13.375
11,0.25,53,12,0.125,13.375
12,0.25,41,18,1.625,10.375
13,0.25,54,13,0.375,13.625
14,0.25,46,19,1.875,11.625
15,0.25,53,11,-0.125,13.375
16,0.25,53,10,-0.375,13.375
17,0.25,53,9,-0.625,13.375
18,0.25,42,18,1.625,10.625
19,0.25,54,7,-1.125,13.625
20,0.25,54,6,-1.375,13.625
21,0.25,54,5,-1.625,13.625
22,0.25,40,18,1.625,10.125
23,0.25,48,19,1.875,12.125
24,0.25,53,15,0.875,13.375
25,0.25,47,19,1.875,11.875
