rank,person_seconds,cell_row,cell_col,x,y
1,0.7500001192092896,53,14,0.625,13.375
2,0.7500001192092896,52,16,1.125,13.125
3,0.6000000834465027,51,18,1.625,12.875
4,0.5500000715255737,47,19,1.875,11.875
5,0.5000000596046448,53,13,0.375,13.375
6,0.5000000596046448,53,12,0.125,13.375
7,0.5000000596046448,55,4,-1.875,13.875
8,0.5000000596046448,49,19,1.875,12.375
9,0.5000000596046448,55,6,-1.375,13.875
10,0.5000000596046448,54,9,-0.625,13.625
11,0.5000000596046448,45,18,1.625,11.375
12,0.5000000596046448,48,19,1.875,12.125
13,0.5000000596046448,50,19,1.875,12.625
14,0.4500000476837158,56,5,-1.625,14.125
15,0.4500000476837158,52,15,0.875,13.125
16,0.40000003576278687,58,8,-0.875,14.625
17,0.3500000238418579,44,18,1.625,11.125
18,0.3500000238418579,53,11,-0.125,13.375
19,0.3500000238418579,55,5,-1.625,13.875
20,0.3500000238418579,52,17,1.375,13.125
21,0.30000001192092896,32,15,0.875,8.125
22,0.30000001192092896,53,15,0.875,13.375
23,0.30000001192092896,56,11,-0.125,14.125
24,0.30000001192092896,55,7,-1.125,13.875
25,0.30000001192092896,54,8,-0.875,13.625
