rank,person_seconds,cell_row,cell_col,x,y
1,68.5995864868164,50,63,12.875,12.625
2,25.399898529052734,50,73,15.375,12.625
3,25.099903106689453,53,49,9.375,13.375
4,24.949905395507812,9,50,9.625,2.375
5,20.949966430664062,4,22,2.625,1.125
6,20.64997100830078,42,64,13.125,10.625
7,20.3499755859375,45,22,2.625,11.375
8,19.599987030029297,4,30,4.625,1.125
9,17.850013732910156,8,18,1.625,2.125
10,17.700016021728516,50,19,1.875,12.625
11,17.65001678466797,5,43,7.875,1.375
12,17.500019073486328,51,18,1.625,12.875
13,17.45001983642578,21,57,11.375,5.375
14,17.350021362304688,41,72,15.125,10.375
15,17.30002212524414,46,69,14.375,11.625
16,16.950027465820312,46,70,14.625,11.625
17,16.600032806396484,38,42,7.625,9.625
18,16.50003433227539,23,17,1.375,5.875
19,16.450035095214844,31,74,15.625,7.875
20,15.600041389465332,9,27,3.875,2.375
21,15.550041198730469,53,14,0.625,13.375
22,15.450040817260742,21,51,9.875,5.375
23,14.900038719177246,45,19,1.875,11.375
24,14.750038146972656,43,73,15.375,10.875
25,14.400036811828613,41,64,13.125,10.375
