rank,person_seconds,cell_row,cell_col,x,y
1,6.700007438659668,45,19,1.875,11.375
2,3.3999979496002197,16,18,1.625,4.125
3,2.049999237060547,45,22,2.625,11.375
4,1.5999995470046997,45,24,3.125,11.375
5,1.4999996423721313,45,23,2.875,11.375
6,1.4999996423721313,53,14,0.625,13.375
7,1.4999996423721313,49,19,1.875,12.375
8,1.4499996900558472,51,18,1.625,12.875
9,1.4499996900558472,52,17,1.375,13.125
10,1.399999737739563,53,15,0.875,13.375
11,1.399999737739563,47,19,1.875,11.875
12,1.399999737739563,46,19,1.875,11.625
13,1.399999737739563,50,19,1.875,12.625
14,1.2999998331069946,53,13,0.375,13.375
15,1.2999998331069946,48,19,1.875,12.125
16,1.0500000715255737,53,10,-0.375,13.375
17,1.0500000715255737,53,11,-0.125,13.375
18,1.0000001192092896,53,12,0.125,13.375
19,0.8000001311302185,53,16,1.125,13.375
20,0.8000001311302185,39,17,1.375,9.875
21,0.7500001192092896,53,7,-1.125,13.375
22,0.7500001192092896,53,9,-0.625,13.375
23,0.7500001192092896,57,6,-1.375,14.375
24,0.7000001072883606,52,16,1.125,13.125
25,0.7000001072883606,52,7,-1.125,13.125
