rank,person_seconds,cell_row,cell_col,x,y
1,5.750003814697266,19,17,1.375,4.875
2,5.600003242492676,31,16,1.125,7.875
3,5.05000114440918,9,17,1.375,2.375
4,5.05000114440918,23,66,13.625,5.875
5,4.699999809265137,16,16,1.125,4.125
6,4.699999809265137,7,18,1.625,1.875
7,4.499999046325684,3,22,2.625,0.875
8,4.44999885559082,38,18,1.625,9.625
9,4.349998474121094,16,17,1.375,4.125
10,4.049997329711914,29,42,7.625,7.375
11,4.049997329711914,4,22,2.625,1.125
12,3.8999974727630615,51,18,1.625,12.875
13,3.3499979972839355,52,16,1.125,13.125
14,3.199998140335083,50,19,1.875,12.625
15,3.0499982833862305,53,14,0.625,13.375
16,2.8499984741210938,44,19,1.875,11.125
17,2.649998664855957,49,19,1.875,12.375
18,2.4999988079071045,48,19,1.875,12.125
19,2.4999988079071045,47,19,1.875,11.875
20,2.4999988079071045,45,19,1.875,11.375
21,2.4999988079071045,46,19,1.875,11.625
22,2.4999988079071045,42,18,1.625,10.625
23,2.4499988555908203,41,18,1.625,10.375
24,2.349998950958252,8,19,1.875,2.125
25,2.349998950958252,9,19,1.875,2.375
